Timestamp,Location,Date,Type,ลักษณะของร้าน,Days,Hours,Restroom,Customers,ท่านเคยพบสัตว์ประเภทใดในบริเวณร้านบ้าง,Cockroach,Fly,Ant,Mosquito,Rat,Bird,Lizard,Garbage,Basic Cleaning เช่น ปัด กวาด เช็ด ถู ดูดฝุ่น ทั่วไป,Mid-Level Maintenance Cleaning เช่น ทำความสะอาด ถังขยะ ปัดกวาดเช็ดถูฝุ่น บริเวณซอก,Deep Cleaning เช่น ทำความสะอาดตู้เย็น ทำความสะอาดพรม กำจัดตะกอน,ใช้กรงดักหนูหรือกาวกับดักหนูหรือไม่ ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้สารเคมีหรือยาฉีดกำจัดสัตว์นำโรคหรือไม่ เช่น ไบกอน ยาฉีดหนู ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้กรงดักแมลงวัน กาวดักแมลงวัน ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้ไม้ช็อตยุง เครื่องดักยุง ถ้าใช้สัปดาห์ละกี่ครั้ง,ท่านเคยใช้บริการบริษัทกำจัดแมลงหรือไม่ หากเคยใช้บ่อยเพียงใด,Drain,ความคิดเห็นเพิ่มเติมจากการสำรวจร้านค้าที่ได้สำรวจ
3/27/2019 13:17:31,ตึกสยามกิตติ์,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,NA,มี,ไม่ทราบว่าใช้บริการบริษัทกำจัดแมลงหรือไม่ครับ
3/27/2019 13:20:26,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-20.00,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, ยุง",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,7,0,0,0,0,มี,
3/27/2019 13:22:25,ติดถนนอังรี,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,ก็ดูสะอาดดี ยกเว้นว่ามีคนทำของหกแล้วพี่มาเช็ด
3/27/2019 13:29:43,Siam square one,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย,ทุกวัน,2-3ครั้ง/สัปดาห์,ทุกวัน,0,0,0,0,0,มี,สะอาดดี พี่บอกว่า7-11ทุกร้านจะมีมาตรฐานในการทำความสะอาดร้านอยู่แล้ว
3/27/2019 13:36:41,สยามสแควร์ซอย 2,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24,ไม่มี,นักท่องเที่ยว,ไม่พบสัตว์นำโรค,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,1 ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,พี่พนักงานคนนี้ไม่สบายใจและดูเหมือนลังเลตอนที่ตอบว่าพบสัตว์อะไรบ้าง ก็เลยตอบว่าไม่พบ
3/27/2019 13:39:37,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,6,8.00-20.00,มี,นักเรียน/นักศึกษา,ไม่พบสัตว์นำโรค,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,7,0,0,0,0,มี,
3/27/2019 13:44:05,ตรงข้าม mbk,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24,ไม่มี,นักเรียน/นักศึกษา,แมลงวัน,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,0,มี,
3/27/2019 13:44:24,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-18.00,มี,นักเรียน/นักศึกษา,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,0,7,0,0,0,มี,
3/27/2019 13:53:25,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,7.30-20.00,ไม่มี,นักเรียน/นักศึกษา,แมลงสาบ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,0,1,0,0,1,มี,
3/27/2019 14:04:43,สยามสแควร์ซอย 6,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-22.00,มี,นักเรียน/นักศึกษา,"แมลงสาบ, ยุง, จิ้งจก",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/เดือนห,0,1,0,0,0,มี,
