Timestamp,ตำแหน่งที่ตั้งของร้าน,วันที่สำรวจร้านค้าในพื้นที่สยามสแควร์,ประเภทของร้านค้า,ลักษณะของร้าน,จำนวนวันที่เปิดทำการของร้าน(ต่อสัปดาห์) ,เวลาที่เปิด-ปิดของร้าน,มีห้องน้ำภายในตัวร้านค้าหรือไม่,กลุ่มลูกค้าส่วนใหญ่ที่เข้ามาใช้บริการในร้าน,ท่านเคยพบสัตว์ประเภทใดในบริเวณร้านบ้าง,1.วิธีในการรวบรวมขยะมูลฝอย,Basic Cleaning เช่น ปัด กวาด เช็ด ถู ดูดฝุ่น ทั่วไป,Mid-Level Maintenance Cleaning เช่น ทำความสะอาด ถังขยะ ปัดกวาดเช็ดถูฝุ่น บริเวณซอก,Deep Cleaning เช่น ทำความสะอาดตู้เย็น ทำความสะอาดพรม กำจัดตะกอน,ใช้กรงดักหนูหรือกาวกับดักหนูหรือไม่ ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้สารเคมีหรือยาฉีดกำจัดสัตว์นำโรคหรือไม่ เช่น ไบกอน ยาฉีดหนู ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้กรงดักแมลงวัน กาวดักแมลงวัน ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้ไม้ช็อตยุง เครื่องดักยุง ถ้าใช้สัปดาห์ละกี่ครั้ง,ท่านเคยใช้บริการบริษัทกำจัดแมลงหรือไม่ หากเคยใช้บ่อยเพียงใด,ท่อระบายน้ำในร้านมีตะแกรงปิดท่อน้ำหรือไม่,ความคิดเห็นเพิ่มเติมจากการสำรวจร้านค้าที่ได้สำรวจ
3/27/2019 13:17:31,ตึกสยามกิตติ์,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม.,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,0,มี,ไม่ทราบว่าใช้บริการบริษัทกำจัดแมลงหรือไม่ครับ
3/27/2019 13:20:26,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-20.00,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, ยุง",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,กาวดักหนู ทุกวัน,ไม่ใช้,ไม่ใช้,ไม่ใช้,ไม่เคย,มี,
3/27/2019 13:22:25,ติดถนนอังรี,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24ชม,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,ก็ดูสะอาดดี ยกเว้นว่ามีคนทำของหกแล้วพี่มาเช็ด
3/27/2019 13:29:43,Siam square one,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24ชม.,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,2-3ครั้ง/สัปดาห์,ทุกวัน,0,0,0,0,0,มี,สะอาดดี พี่บอกว่า7-11ทุกร้านจะมีมาตรฐานในการทำความสะอาดร้านอยู่แล้ว
3/27/2019 13:36:41,สยามสแควร์ซอย 2,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม,ไม่มี,นักท่องเที่ยว,ไม่พบสัตว์นำโรค,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,1 ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,พี่พนักงานคนนี้ไม่สบายใจและดูเหมือนลังเลตอนที่ตอบว่าพบสัตว์อะไรบ้าง ก็เลยตอบว่าไม่พบ
3/27/2019 13:39:37,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,6,8.00-20.00,มี,นักเรียน/นักศึกษา,ไม่พบสัตว์นำโรค,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ใช้ ทุกวัน,ไม่,ไม่,ไม่,ไม่,มี,
3/27/2019 13:44:05,ตรงข้าม mbk,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม.,ไม่มี,นักเรียน/นักศึกษา,แมลงวัน,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,0,มี,
3/27/2019 13:44:24,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8-18,มี,นักเรียน/นักศึกษา,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่,ใช้ ทุกวัน,ไม่,ไม่,ไม่,มี,
3/27/2019 13:53:25,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,ทุกวัน,7.30-20.00,ไม่มี,นักเรียน/นักศึกษา,แมลงสาบ,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,-,เจลดักเเมลงสาบอาทิตย์ละครั้ง,-,-,เดือนละครั้ง กำจัดปลวก,มี,
3/27/2019 14:04:43,สยามสแควร์ซอย 6,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-22.00,มี,นักเรียน/นักศึกษา,"แมลงสาบ, ยุง, จิ้งจก",มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/เดือนห,ไม่มีหนูในห้อง,นานนานที,ไม่มีแมลงวัน,-,-,มี,
